No,Nama obat,Kandungan obat,Kegunaan obat,Dosis,Efek
39,Fargoxin,"Tiap tablet obat fargoxin mengandung 0,25 ml fargoxin",Gagal jantung kongestif akut. Takikardia supraventrikuler paroksismal.,"Dewasa : Untuk digitalisasi cepat (24-36 jam) : 4-6 tablet , kemudian 1 tablet pada interval tertentu sampai kompensasi tercapai. Untuk digitalisasi lambat (3-5 hari) : 2-3 tablet/hari dalam dosis terbagi. Pemeliharaan : 1-3 tablet/hari.  Anak : Untuk digitalisasi cepat : 25 mcg/kg berat badan dengan selang waktu tertentu sampai kompensasi tercapai. Pemeliharaan : 10-20 mcg/kg berat badan/hari. Prematur atau Bayi baru lahir sampai 1 bulan : Untuk digitalisasi : total dosis 0.02-0.035 mg/kg berat badan. Bayi 1 bulan-2 tahun : 0.035-0.06 mg/kg berat badan. Anak 2-5 tahun : 0.03-0.04 mg/kb berat badan. Anak 5-10 tahun : 0.02-0.035 mg/kg berat badan.  Anak > 10 tahun : dosis dewasa. Total dosis diberikan terbagi dalam 2 dosis atau lebih, tiap 6-8 jam. Umumnya dosis oral 0.01-0.02 mg/kg berat badan tiap 6 jam, sampai respon tercapai. Pemeliharaan : 1/5 atau 1/3 total dosisi digitalisasi, diberikan 1 kali/hari.","Gangguan SSP dan GI. Jarang : bingung, disorientasi, afasia, gangguan denyut jantung, konduksi, ritme, alergi kulit, ginekomastia"
40,Digoxin,"Tiap tablet mengandung digoxin 0,25 mg","Gangguan SSP dan GI. Jarang : bingung, disorientasi, afasia, gangguan denyut jantung, konduksi, ritme, alergi pada kulit dan gatal-gatal pada kulit, ginekomastia","Digitalisasi cepat (24-36jam) : 4-6tab, kemudian 1 tab pada interval tertentu sampai kompensasi tercapai.  Digitalisasi lambat ; (3-5 hari) : 2-6 tablet / hari dalam dosis terbagi. Terapi penunjang : 1-3 tablet / hari","Gangguan GI dan SSP (anoreksia, bingung, disorientasi, afasia, gangguan penglihatan) gangguan frekuensi, konduksi dan irama jantung. Reaksi alergi kulit (pruritus, urtikaria) dan ginekomastia"
41,Aminophylline,Tiap table mengandung  aminophyline 500 mg,Aminophylline memiliki kegunaan untuk meringankan dan mengatasi serangan asma bronchial.,"Sesak napas akut (intravena) Dosis pemuatan: diberikan dosis 5 mg / kg berat badan atau 250-500 mg melalui injeksi atau infus lambat. Dosis pemeliharaan: 0,5 mg / kg berat badan/ jam. Dosis maksimal: 25 mg / menit. Sesak napas kronis (Tablet) Dewasa: 225-450 mg, 2 kali sehari. Dosis dapat ditingkatkan jika diperlukan. Lansia: Dosis dikurangi dari dosis dewasa Anak-anak dengan berat badan lebih dari 40 kg: Dosis awal adalah 225 mg, 2 kali sehari. Setelah 1 minggu, dosis dapat ditingkatkan jika diperlukan hingga 450 mg, 2 kali sehari.","Gastrointestinal, misalnya : Mual, muntah, diare. Susunan saraf pusat, misalnya : Sakit kepala, insomnia. Kardiovaskuler, misalnya : Palpitasi (jantung berdebar-debar), takikardi (detak jantung lebih cepat), aritmia ventrikuler (masalah irama jantung). Pernafasan, misalnya : Tachypnea (pernapasan yang sangat cepat dan sering kali pendek). Rash (gatal), hiperglikemia (tingginya kadar gula dalam darah)."
42,Erphafillin,Tiap tablet mengandung erphafillin 500 mg,asma bronkial dan gangguan kekejangan bronki lainnya,"dewasa: awal 225-450mg, dapat ditingkatkan jika perlu. anak >3th: 12mg/kg sehari dapat meningkat menjadi 24mg/kg sehari dalam 2 dosis terbagi setelah 1 minggu","mual, muntah, sakit perut, diare, sakit kepala, insomnia, pusing, cemas, gelisah, tremor, palpitasi (detak jantung tidak normal)."
43,Dexycol,Tiap kapsul mengandung: Thiamphenicol 500 mg,Untuk infeksi-infeksi yang disebabkan oleh: Salmonella spp. H.influenzae (hanya infeksi meningeal). Ricketsia. Lymphogranuloma psithacosis. Gram negatif yang menyebabkan bakterisia meningitis. Untuk hepatobilier dan gonorhoeae.,Dewasa : 4 x 250 mg-500 mg/hari. Anak-anak : 25 mg-50 mg/kg BB/hari dibagi daiam 4 dosis,"Reaksi hipersensitivitas seperti: urtikaria pada anafilaksis. Gangguan hematopoietik yang biasanya reversible. Gangguan gastrointestinal seperti: mual, muntah dan diare. Sindroma Gray,terutama anemia plastik yang dapat menjadi serius dan fatal."
44,Arkavit C,TIAP KAPLET ARKAVIT-C MENGANDUNG: Vitamin B1 50 mg  Vitamin B2 25 mg  Vitamin B3 50 mg  Vitamin B5 20 mg  Vitamin B6 10 mg  Vitamin B12 5 mg  Vitamin C 500 mg,Membantu memenuhi kebutuhan vitamin B kompleks dan vitamin C pada keadaan setelah sakit. - Sebagai Pertahanan Tubuh dari Penyebab sakit (Sistem Imun) - Dapat juga digunakan untuk memelihara kesehatan.,Dewasa : 1-2 tablet sehari,-
45,Alvita,Tiap tablet mengandung : Methampyronum 500 mg. Thiamini hcl 50 mg. Pyridoxini hcl 10 mg. Cyanocobalaminum 10 mcg,Untuk meringankan rasa sakit yang berat yang disebabkan oleh neuritis dan neuralgia,"Dewasa : 1 kaplet 3 kali sehari, maksimum 4 kaplet sehari.","Reaksi hipersensitif : reaksi pada kulit, misalnya kemerahan serta Agranulositosis."
46,Bronex,Bromhexine HCl 8 mg,Bronex digunakan untuk mengencerkan dahak pada saluran pernapasan.,"Dewasa: 1-2 tablet, diminum 3 kali sehari. Anak-anak usia 2-5 tahun: 1 tablet per hari, dapat dibagi ke dalam 2-3 jadwal konsumsi. Anak-anak usia 6-11 tahun: 1/2-1 tablet, diminum 3 kali sehari. Anak-anak usia ≥ 12 tahun: Sama dengan dosis dewasa.","Efek samping penggunaan Bronex yang mungkin terjadi adalah: Pusing, Sakit kepala, Mual dan Perut kembung, Diare, Gatal, Ruam, Sesak napas, Angioedema (pembengkakan di bawah kulit)"
47,Bronsolvan,Theophylline,Meringankan dan mengatasi serangan asma bronkial,Dewasa : 3 x sehari 1 tablet ; Anak 6-12 tahun : 3 x sehari 1/2 - 1 tablet,"Mual, muntah, nyeri ulu hati, sakit kepala, iritasi, insomnia, palpitasi, takiaritmia, takipnea, ruam, hiperglikemia"
48,Cefadroxil,Cefadroxil 500 mg,"Mengatasi infeksi bakteri pada bagian tubuh, seperti kulit, tenggorokan, saluran kencing, dan jantung.","Dewasa: Dosis biasa: 1 atau 2 g setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi. Dosis individual berdasarkan kerentanan patogen, tingkat keparahan infeksi, dan status klinis pasien. Anak: 6 tahun Dosis anjuran: <40 kg: 30-50 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi. Maks: 100 mg/kg setiap hari. >40 kg: Sama seperti dosis dewasa. Faringitis streptokokus, Tonsilitis Dewasa: Untuk kasus yang disebabkan oleh galur Streptococcus pyogenes yang rentan (streptokokus -hemolitik grup A): 1 g sekali sehari atau 500 mg dua kali sehari selama setidaknya 10 hari. Anak: Dosis yang dianjurkan: <40 kg: 30 mg/kg setiap hari sebagai dosis tunggal atau dalam 2 dosis terbagi selama minimal 10 hari. Maks: 100 mg/kg setiap hari. >40 kg: Sama seperti dosis dewasa.","fek samping yang mungkin terjadi dalam penggunaan obat adalah: Signifikan: Reaksi hipersensitivitas, termasuk anafilaksis; Diare terkait Clostridium difficile. Gangguan sistem darah dan limfatik: Jarang, eosinofilia, neutropenia, trombositopenia, agranulositosis. Gangguan gastrointestinal: Diare, mual, muntah, dispepsia, sakit perut, glositis. Gangguan umum dan kondisi tempat pemberian: Jarang, demam. Gangguan sistem kekebalan: Jarang, reaksi seperti penyakit serum, edema angioneurotik. Pemeriksaan penunjang: Jarang, AST dan ALT sedikit meningkat. Gangguan muskuloskeletal dan jaringan ikat: Jarang, artralgia. Gangguan kulit dan jaringan subkutan: Ruam, pruritus, eksantema alergi, urtikaria. Berpotensi Fatal: Kolitis pseudomembran."
49,Damuvit,"vitamin B1 50mg, vitamin B6 10mg, vitamin B12 5mcg, vitamin B2 25mg, nicotinamide 100mg, Ca pantotenate 25mg, vitamin C 500mg, folic acid 0,5mg",mengatasi kekurangan vitamin B kompleks dan vitamin C,1 kaplet per hari,-
50,Dexacap,Tiap tablet DEXACAP® 25 mengandung : Captopril 25 mg.,Untuk pengobatan hipertensi sedang dan berat yang tidak dapat diatasi dengan pengobatan kombinasi lain. DEXACAP® dapat digunakan sendiri atau dalam kombinasi dengan obat antihipertensi lain terutama thiazide. Payah jantung yang tidak cukup responsif atau tidak dapat dikontrol dengan diuretik dan digitalis.,"Hipertensi : Dosis awal adalah 12,5-25 mg, 2-3 kali sehari. Bila setelah 2 minggu belum diperoleh penurunan tekanan darah, maka dosis dapat ditingkatkan sampai 50 mg, 2-3 kali sehari. Gagal jantung : Dosis awal adalah 25 mg 3 kali sehari, sebaiknya dimulai dengan 12,5 mg, 3 kali sehari.","Ruam kulit, gangguan pengekapsulan, neutropenia, proteinuria, sakit kepala, lelah/letih dan hipotensi."
51,Fasgo Forte,Paracetamol 650 mg,"Pengobatan untuk menurunkan demam serta meredakan sakit kepala, sakit gigi, nyeri otot dan sendi, artritis reumatoid, osteoartritis, nyeri haid dan nyeri yang berhubungan dengan trauma ringan (terpukul, terbentur, teriris, dan lainlain) dan prosedur pembedahan.",Dewasa atau anak usia diatas 12 tahun: 1 kaplet 3 kali sehari. Anak usia 5 – 12 tahun: 1/2 kaplet 3 kali sehari,"reaksi hematologi, reaksi kulit, dan reaksi alergi lainnya, kerusakan hati pada penggunaan jangka lama dan overdosis"
52,Farmoten,Captopril,HIpertendi dan Gagal jantung,"Hipertensi Dewasa Awal 12,5-25 mg, 2-3 kali/hari. HIpertensi ringan-sedang maksimal 150 mg/hari. HIpertensi berat maksimal 450 mg/hari. Gagal jantung 12,5-25 mg, 3 kali/hari.","Ruam, pruritus, wajah memerah, kehilangan presepsi pengecapan, proteinuria, batuk."
53,Graxine,Bromheksin HCl 8mg Gliceril guakolat 100mg,mukolitik dan ekspektoran,Dewasa dan anak >12tahun: 3 kali sehari 1 tablet,"mual, muntah, rasa penuh diperut, sakit kepala, vertigo, berkeringat banyak dan ruam kulit"
54,Gradine,Loratadine,"Mengurangi gejala-gejala berkaitan dengan rinitis alergi seperti bersin-bersin, pilek, dan rasa gatal pada hidung, rasa gatal dan terbakar pada mata",dewasa: 1 kali sehari 10mg atau 2 kali sehari setiap 12 jam 5mg. anak 2-5 tahun: 1 kali sehari 5mg.,"sakit kepala, mengantuk, lelah, sedasi, gugup, mengi, ISPA, mulut kering, radang tenggorokan, sakit perut, diare, gangguan gigi, sakit telinga, gejala influenza, ruam, stomatitis, konjungtivis, malaise"
55,Hufaneuron,Thiamine HCI 100 mg Pyridoxine HCI 200 mg Cyanocobalamin 200 mcg,"Untuk pengobatan kekurangan Vit B1, B6, dan B12 seperti pada beri-beri, polineuriti",1 x sehari 1 kaplet,-
56,Hufralgin,"Methampyron 500 mg, Thiamine HCL 50 mg, Pyridoxine HCL 100 mg, Cyanocobalamin 100 mcg","Meringankan rasa sakit yang disebabkan oleh neuritis dan neuralgia, terutama pada keadaan rasa sakit yang berat","3 kali sehari, 1 kaplet salut selaput",-
57,Isosorbide,Isosorbide Dinitrat,Untuk mencegah sakit di dada yang disebabkan oleh angina,"Serangan angina pektoris: 2,5-10 mg diletakan dibawah lidah (sublingual) atau sebagai tablet kunyah. Pencegahan: dosis dapat diulang tiap 2-3 jam. Pengobatan jangka panjang: 3 atau 4 kali sehari 10-20 mg. Mencegah serangan di malam hari: 1-2 tablet sebelum tidur.","Sakit kepala berdenyut, muka merah, pusing, hipotensi postural, takikardi (dapat terjadi bradikardi paradoksikal). Efek samping yang khas setelah injeksi meliputi hipotensi berat, mual dan muntah, diaforesis, kuatir, gelisah, kedutan otot, palpitasi, nyeri perut, sinkop, pemberian jangka panjang disertai dengan methemoglobinemia."
58,Kurkumex,"Per 2.5 mL Curcumae xanthorrizae rhizoma 50 mg, Zn 4.55 mg, lysine HCl 31.25 mg",Sebagai suplemen untuk membantu meningkatkan nafsu makan & selama masa pertumbuhan pada anak.,"Dewasa : 1 sendok teh 3x perhari. Anak 6-12 tahun ½ sendok teh 2x perhari, Anak 1-6 tahun ½ sendok teh 1x perhari.",-
59,Lanadexon,"Dexamethasone 0,5 mg.","Keadaan alergi, penyakit kolagen, rematik, leukemia, terapi syok, penyakit pernafasan, gangguan darah, keadaan edema (penimbunan cairan secara berlebihan di dalam jaringan tubuh).","Dewasa : 0,5-9 mg dalam dosis terbagi. Anak berusia 6-12 tahun : 2 kali sehari 0,25-2 mg. Anak berusia 1-5 tahun : 2 kali sehari 0,25-1 mg. Anak berusia 1 tahun atau kurang : 2 kali sehari 0,1-0,25 mg.","Osteonekrosis, lemah otot, gangguan pengelihatan, pertumbuhan terhambat, nafsu makan meningkat."
60,Lapisiv,"glyceryl guaiacolate 150mg, dextromethorphan HBr 10mg, diphenhydramine HCl 15mg.",untuk meringankan batuk dan flu yang disertai alergi,dewasa & anak >12 tahun: 3-4 kali sehari 1 tablet. anak 6-12 tahun: 3-4 kali sehari 1/4-1/2 tablet,"mengantuk, pusing, mulut kering, ruam kulit"
61,Lagesil,"Per tablet Simethicone 50 mg, Mg(OH)2 250 mg, Al(OH)3 250 mg.","Hiperasiditas lambung, ulkus peptik, kembung.","Dewasa : 3-4 x sehari 1 tablet, anak : 3-4 x sehari 1/2 tablet","Diare, konstipasi. Hipofosfatemia (penggunaan lama)"
62,Merislon,betahistine mesylate 6 mg,"mengurangi vertigo, pusing yang berhubungan dengan gangguan keseimbangan yang terjadi pada gangguan sirkulasi darah atau sindrom Meniere, penyakit Meniere dan vertigo perifer.",3 kali sehari 1-2 tablet,"mual, muntah, ruam pada kulit"
63,Mycostop,Griseofulvin,"Infeksi jamur pada kulit, rambut, dan kuku.",Dewasa : 1-2 gram/hari sebagai dosis tunggal atau dosis terbagi. Anak-anak : 10 mg/kg berat badan/hari dalam dosis terbagi. Lanjutkan pengobatan paling sedikit 2 minggu setelah gejala-gejala hilang.,"gangguan gastro intestinal, sakit kepala, sensitif terhadap cahaya, jarang angiodeama, lupus eritematosus sistemik dan reaksi kulit"
64,Novagesic,Paracetamol 500mg,"membantu meredakan sakit kepala, sakit gigi dan nyeri ringan serta demam",Dewasa atau anak > 12 tahun : 3 – 4 x sehari 1 caplet. Anak 5 – 12 tahun : 3 – 4 x sehari ½ caplet. Bila perlu obat diberikan setiap 4 jam atau menurut petunjuk dokter. Pemberian tidak lebih dari 5 x sehari.,-
65,Nilatika,metoclopramide 10mg,"mual dan muntah akibat intoleransi obat-obat tertentu, muntah akibat anestesia, muntah akibat radiasi dan setelah pembedahan, mempermudah intubasi saluran cerna","dewasa: 3 kali sehari 1/2-1 tablet. anak 6 tahun: 1kali sehari 0,1mg/kgBB","diare, mengantuk, sembelit, gejala ekstrapiramidal, gelisah, lelah, mulut kering, agitasi (rasa resah dan gelisah yang berlebih), urtikaria (reaksi alergi seperti gatal dan biduran)"
66,Osvion plus,"Vit C 10 mg, Vitamin E 10 mg, Vitamin D 400 iu, manganese sulphate 0.25 mg, Zn sulphate 2.5 mg, selenium 5 mcg, glucosamine 300 mg, MSM 200 mg, chondroitin sulphate 200 mg.","osteoartitis, kaku dan nyeri pada persendiaan, peradangan sendi",BB > 55 kg : 1 kaplet 3x sehari. BB < 55 kg : 1 kaplet 2 x sehari. Pemeliharaan : 1 kaplet 1x sehari,-
67,Omeric,Allopurinol 100 mg.,hiperurisemia primer (Gout).  hiperurisemia sekunder (mencegah pengendapan asam urat dan kalsium oksalat).,Dapat dikonsumsi setelah makan.,"Mual,Muntah,Lelah, Sakit kepala, Ruam kulit, Depresi, Diare, Vertigo, Mengantuk., Gangguan daya penglihatan"
68,Propanolol,Propanolol HCl 10 mg,"terapi hipertensi, angina, aritmia, pencegahan migrain","Dewasa dan anak > 12 tahun untuk hipertensi : 20 mg, 3-4 kali sehari; aritmia : 10-20 mg, 3-4 kali sehari; angina : 10-20 mg, 3-4 kali sehari; mencegah migrain : 40 mg,2-3 kali sehari. Anak-anak : aritmia : 0,5 mg/kgBB/hari dibagi 3-4 kali pemberian; hipertensi : 1-3 mg/kgBB/hari dibagi 3 kali pemberian.","lemah, lesu, mual, bradikardi (denyut jantung lebih lambat), konstipasi, diare"
69,Prix,Captopril 25 mg.,Menangani hipertensi dan gagal jantung.,"Hipertensi: Dosis awal 25-75 mg terbagi menjadi 2-3 dosis.  Gagal jantung: Dewasa: Dosis awal 6,25-12,5 mg dikonsumsi 2-3 kali sehari.","Mual dan muntah, Sakit perut, Pusing atau limbung, Batuk kering"
70,Primolut N,Norethisterone,"Pendarahan disfungsional, amenore primer dan sekunder, sindrom pra-menstruasi, mastopati siklik, pengaturan waktu menstruasi, endometriosis","Pendarahan disfungsional : 3 x sehari 1 tablet selama 10 hari, maksimal 30 hari ; Amenore primer dan sekunder : 1-2 x sehari 1 tablet selama 10 hari ; Untuk merangsang pendarahan siklus : 2 x sehari 1 tablet dimulai pada hari ke 16 sampai dengan 25 dari siklus menstruasi ; Sindrom pra-menstruasi : 1-3 x sehari 1 tablet selama fase luteal dari siklus ; Pengaturan Haid : 2-3 x sehari 1 tablet selama 10-14 hari dimulai 3 hari sebelum menstruasi yang diharapkan ; Endometriosis : dimulai pada hari 1 sampai dengan ke 5 dari siklus, dengan dosis 2 x sehari 1 tablet. pengobatan dapat dilanjutkan 4-6 bulan","Pendarahan uterus / vagina termasuk pendarahan bercak, hipomenore, amenore, sakit kepala, mual, edema"
71,Sturegon,cinnarizine 25mg,"gangguan keseimbangan, gangguan sirkulasi darah perifer & serebral",gangguan sirkulasi serebral & gangguan keseimbangan: 1 tablet 3x sehari ; gangguan sirkulasi perifer: 2 tablet 3x sehari,"gangguan gastrointestinal, penggunaan jangka lama pd usia lanjut muncul atau bertambahnya gejala ekstrapiramidal"
72,Suprabiotic,Tetracycline 500 mg.,Mengobati berbagai macam infeksi termasuk jerawat.,"Infeksi yang rentan Dewasa: 250-500 mg tiap 6 jam. Dosis dan lamanya pengobatan bervariasi tergantung pada jenis infeksinya. Anak: lebih dari 8 tahun 25-50 mg/kg BB/hari, dalam dosis terbagi tiap 6 jam. Jerawat vulgaris, Rosacea Dewasa: 250-500 mg setiap hari sebagai dosis tunggal atau terbagi selama minimal 3 bulan. Brucellosis Dewasa: 500 mg 4 kali sehari selama 3 minggu dikombinasikan dengan streptomisin. Uretritis nongonokokal, Infeksi genital tanpa komplikasi akibat Chlamydia trachomatis, Gonore tanpa komplikasi Dewasa: 500 mg 4 kali sehari selama 7 hari. Sipilis Dewasa: 500 mg 4 kali sehari. Durasi pengobatan: 15 hari untuk sifilis dini (durasi 1 tahun (kecuali neurosifilis). Epididymo-orchitis Dewasa: 500 mg 4 kali sehari selama 10 hari.","Perubahan warna gigi permanen pada anak, hiperpigmentasi jaringan pada anak"
73,Alletrol,"dexamethasone sodium phosphate 1 mg; neomycin sulfate setara dengan neomycin base 3,5 mg; polymixin b sulfate 6000 IU","peradangan pada mata yang disertai dengan infeksi bakteri - chronic anterior uveitis dan luka pada kornea yang disebabkan oleh bahan kimia, radiasi, iritasi termis dan penetrasi benda-benda asing - inflamasi okuler dari palpebrat dan bulbar conjunctiva, kornea dan anterior segment","Dosis awal 1 atau 2 tetes setiap jam pada siang hari dan tiap 2 jam pada malam hari. Jika telah memberikan respon yang baik, dosis dikurangi menjadi 1 tetes setiap 4 jam. untuk mengontrol gejala, dosis dikurangi menjadi 1 tetes 3 atau 4 kali sehari",-
74,Aditusin,Chlorphenamine maleate 2 mg dan Dextromethorphan hydrobromide 10 mg,Aditusin digunakan untuk mengobati batuk yang disertai dengan pilek dan alergi.,"Dewasa: 1-2 tablet, diberikan 3 kali sehari. Anak usia 6-12 tahun: 1/2-1 tablet, diberikan 3 kali sehari. Anak usia 2-6 tahun: 1/4–1/2 tablet, diberikan 3 kali sehari.","Efek samping yang mungkin timbul selama penggunaan Aditusin adalah: Nyeri perut, diare, gangguan pencernaan, mual, muntah, Pusing, kantuk, kejang, Insomnia, keadaan bingung, Depresi pernapasan."
75,Amlogal,Tiap tablet mengandung: Amlodipine Besylate 5 mg,Diindikasikan untuk pengobatan lini pertama hipertensi dan dapat digunakan sebagai agen tunggal untuk mengontrol tekanan darah pada sebagian besar pasien.,"Dewasa: Hipertensi dan angina: Dosis awal 1 x sehari 5 mg, dapat ditingkatkan hingga dosis max.10 mg. Anak, usia 6-17 tahun: Dosis awal 1 x sehari 2,5 mg , dapat ditingkatkan menjadi 5 mg sekali sehari setelah interval 4 minggu sesuai dengan respons klinis. Lansia: Dosis awal 2,5 mg sekali sehari.","Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Sakit kepala, pusing, mengantuk, debaran jantung, sakit perut, mual, edema, kelelahan. Pasien (6-17 thn): Vasodilatasi, epistaksis, kelemahan."
76,Alodan,Tiap tablet mengandun: Allopurinol 100 mg,Hiperurisemia primer: gout. Hiperurisemia sekunder: mencegah pengendapan asam urat dan kalsium oksalat. Produksi asam urat yang berlebihan antara lain disebakan karena polisitemia vera dan terapi sitostatik.,Dosis awal 100 -300 mg/hari. Kondisi sedang: 300 - 600 mg/hari. Kondisi berat: 700 - 900 mg/hari. Dosis tunggal maksimum 300 mg.,"Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hipersensitivitas. Gangguan kulit dan jaringan subkutan: pruritus, urtikaria, alopecia. Gangguan gastrointestinal: Mual, muntah, diare, sakit perut, dispepsia, kehilangan indera perasa, gastritis. Mengantuk. Sakit kepala"
77,Bacbutinh,"Ethambutol HCl 250 mg, INH 100 mg, Vitamin B6 5 mg",Pengobatan TB pulmoner dan ekstrapulmoner,Terapi awal dan profilaksis: ethambutol 15 mg/KgBB/hari dosis tunggal dengan INH 300 mg/hari. Terapi ulangan sesudah 2 bulan fase awal: ethambutol 25mg/kgBB/hari dosis tunggal dengan INH 300 mg/hari.,"Neuritis retrobulbar dengan penurunan daya penglihatan, skotoma sentral, buta warna hijau-merah, ruam alergi, gangguan gastrointestinal, gangguan saraf pusat, hiperurisemia."
78,Berzymplex,"Berzymplex mengandung beberapa zat aktif seperti di bawah ini, yaitu:    Pancreatin 112.5 mg  Dimethylpolysiloxane 25 mg Ox bile 30 mg Vitamin B6 5 mg   thiamin AtauVitamin B1  10 mg Vitamin B2 5 mg  niacinamide 10 mg Ca pantothenate 5 mg dan juga mengandung vitamin B12 5 mcg","mengatasi berbagai macam kondisi seperti di bawah ini:  Perut kembung,   Mual dan juga muntah, Nyeri yang terjadi pada ulu hati, Serta juga bisa anda gunakan untuk membantu melancarkan buang air besar",·         Dosis yang diberikan untuk orang dewasa yakni sebanyak satu sampai dengan 2 tablet dan dikonsumsi sebanyak 3 kali dalam sehari. Sementara untuk dosis yang diperbolehkan dikonsumsi oleh anak-anak yaitu sebanyak 1 tablet dan dikonsumsi sebanyak 2 sampai tiga kali atau disesuaikan dengan anjuran dari dokter anda.,"·         Efek samping dari penggunaan obat Berzymplex adalah seperti mual, muntah, atau juga bisa menyebabkan perut anda terasa kurang enak."
79,Berlosid,"Al(OH)3 261.4 mg, Mg(OH)2 200 mg, dimethicone 40 mg","Kelebihan asam lambung, tukak lambung, gastritis, tukak usus duabelas jari","Anak 6 - 12 tahun : sehari 4 1/2 tablet atau 1/2 sendok suspensi, 1 - 2 jam sebelum makan atau sebelum tidur; dewasa, 4 kali sehari 1 tablet atau 1 sendok sebelum makan dan sebelum tidur","Berkurangnya kepadatan tinja, menganggu penyerapan asam folat dan zat besi"
80,Bidium,Loperamida HCI 2 mg,"diare non spesifik, diare kronik",Diare non spesifik: 2-4 mg 1-2 kali sehari. Diare kronik: 4-6 mg sehari,"mual, gangguan kulit, letih, mulut kering"
81,Catapres,Clonidine HCl 150 mcg,Hipertensi,75-150mcg per hari,"Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Mulut kering dan sedasi, mual, muntah, pusing, impotence, penurunan libido"
82,Coric,Allopurinol 100 mg,Hiperurisemia primer: gout  Hiperurisemia sekunder: mencegah pengendapan asam urat dan kalsium oksalat.,"Dewasa: Awalnya, 100 mg setiap hari, disesuaikan dengan penambahan 100 mg setiap 2-4 minggu sesuai dengan konsentrasi serum urat. Pemeliharaan: 100-200 mg setiap hari (ringan); 300-600 mg setiap hari (cukup parah); 700-900 mg setiap hari (berat). Maks: 900 mg setiap hari. Dosis> 300 mg setiap hari harus diminum dalam dosis terbagi. Anak: Dalam hiperuremia yang berhubungan dengan gangguan enzim","Mual, Muntah, Lelah, Sakit kepala, Ruam kulit, Depresi, Diare, Vertigo, Mengantuk, Gangguan daya penglihatan."
83,Dextral forte,"Dextromethorphan HBr 15 mg, glyceryl guaiacolate 75 mg, phenylpropanolamine HCl 15 mg, chlorpheniramine maleate 2 mg",Untuk meringankan batuk dan pilek.,Dewasa: 3 kali sehari 1 kaplet. Anak-anak 6 – 12 tahun: 3 kali sehari ½ kaplet.,"Obat ini dapat menyebabkan kantuk, gangguan pencernaan, gangguan psikomotor, takikardia, aritmia, mulut kering, palpitasi, retensi urine."
84,Diaramid,Loperamide HCL 2 mg,"Diaramid digunakan untuk mengobati gejala diare. Gejala fases cair, mual muntah, sakit kepala, sakit pada bagian perut","Dosis awal pemakaian dewasa: 2 tablet Dosis selanjutnya: 1 tablet, dengan maksimal pemakaian 3x sehari Sebaiknya obat dikonsumsi setelah buang air besar.","Efek samping penggunaan Diaramid yang mungkin terjadi adalah: Pusing, Terasa lemas, Menyebabkan kantuk, Menyebabkan konstipasi/sembelit, Kembung, Mual dan muntah, Gangguan pada pencernaan."
85,Dexicotra,Dexamethasone 0.5 mg.,"Dexicorta digunakan untuk meredakan peradangan yang disebabkan oleh penyakit reumatik, dapat di gunakan untuk meredakan alergi, terapi insufisensi adrenal, dan terapi pendamping untuk asma.",Dewasa: dosis awalnya: di berikan dosis 0.5-9 mg setiap hari dalam dosis terbagi. Maksimal: 1.5 mg setiap hari. Dosis bersifat individual dan disesuaikan tergantung pada penyakit yang dirawat dan respons pasien. Anak: Dosis awal: 0.02-0.3 mg / kg berat badan setiap hari dalam 3-4 dosis terbagi. Dosis tergantung pada tingkat keparahan penyakit dan respons pasien.,"Efek samping yang mungkin terjadi selama penggunaan obat Dexicorta, antara lain Moon Face atau bengkak pada wajah, Gangguan saluran cerna, Diabetes melitus, Hipertensi, Nafsu makan meningkat, Osteonekrosis (proses kematian pada tulang yang juga menyebabkan gangguan dari suplai pembuluh darah tulang)"
86,Freedol,Asam Mefenamat 500 mg,"Freedol digunakan untuk mengurangi nyeri ringan hingga sedang seperti sakit gigi, nyeri haid, nyeri pasca trauma (terjatuh atau terbentur), nyeri otot, sakit kepala.",Dewasa dan anak-anak usia diatas 14 tahun: Dosis Awal 500 mg tiga kali sehari.,"Efek samping yang mungkin terjadi selama penggunaan Freedol antara lain mual, diare, pusing, muntah, rasa mengantuk, sakit kepala, perdarahan lambung."
87,Farmoten,Captopril 25 mg,"Hipertensi ringan sampai berat, gagal jantung","Dewasa : Untuk hipertensi : awal 12.5-25 mg 2-3 kali/hari. Dosis dapat ditingkatkan menjadi 50 mg 2-3 kali/hari, bila setelah 2 minggu belum terlihat penurunan TD yang adekuat. Untuk hipertensi ringan-sedang : maksimal 150 mg/hari. Untuk hipertensi berat : maksimal 450 mg/hari. Untuk gagal jantung : 12.5-25 mg 3 kali/hari, sebaiknya dimulai 12.5 mg 3 kali/hari.","Efek samping yang mungkin terjadi dalam penggunaan obat adalah: Hipotensi ortostatik, takikardia, kardiomiopati hipertropik, sakit Ruam, pruritus, muka kemerahan, batuk kering, kehilangan persepsi pengecapan, proteinuria, batuk"
